labels;Area;X;Y;XM;YM;Perim.;BX;BY;Width;Height;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity;Esferoide;dia;Diameter;n_diam
Esferas_BT474_dia_2_well_2_100X_4_blob_8;341.52;80.4027;900.5058;80.4027;900.5058;68.1562;69.9728;890.625;21.0598;20.3804;0.9239;22.4904;103;1319;154.9831;20.3804;1.0441;0.9578;0.9548;no;2;21.4354;1.5959757800699386
Esferas_BT474_dia_2_well_2_100X_4_blob_10;365.0572;25.2548;1066.1943;25.2548;1066.1943;76.8029;13.587;1055.0272;23.0978;22.4185;0.7777;23.8933;20;1565;165.1735;21.4979;1.0392;0.9623;0.915;no;2;22.6956;1.8943338757551544
Esferas_BT474_dia_2_well_1_100X_4_blob_1;1037.9438;1096.3688;33.0339;1096.3688;33.0339;123.1916;1079.4837;13.587;34.6467;39.4022;0.8595;43.8166;1597;78;60.2551;32.6768;1.32;0.7576;0.9548;no;2;38.2467;9.065952261191288
Esferas_BT474_dia_2_well_1_100X_4_blob_6;781.8038;1140.7609;247.3267;1140.7609;247.3267;114.0787;1126.3587;228.2609;28.5326;38.0435;0.7549;39.3612;1669;337;111.2505;26.0717;1.5384;0.65;0.9328;no;2;32.716449999999995;5.674531865095258
Esferas_BT474_dia_2_well_1_100X_4_blob_7;1196.7044;1206.5415;337.5317;1206.5415;337.5317;140.4567;1185.462;317.2554;40.7609;41.4402;0.7623;46.2056;1752;512;41.4237;39.0781;1.0999;0.9092;0.9264;no;2;42.64185;12.564338670108338
Esferas_BT474_dia_2_well_1_100X_4_blob_8;1642.5264;1290.5565;377.2674;1290.5565;377.2674;157.2839;1264.2663;354.6196;51.6304;44.837;0.8344;52.9107;1861;548;164.3578;38.8881;1.3827;0.7232;0.9638;no;2;45.8994;15.66940642496962
Esferas_BT474_dia_2_well_1_100X_4_blob_9;2512.0178;1227.6739;450.5219;1227.6739;450.5219;204.7299;1193.6141;423.913;64.538;55.0272;0.7531;66.5657;1757;656;165.8219;51.562;1.297;0.7709999999999999;0.947;no;2;59.06385;33.3884899091734
Esferas_BT474_dia_2_well_1_100X_4_blob_12;1310.6983;821.2334;602.244;821.2334;602.244;139.9905;804.3478;577.4457;36.0054;48.2337;0.8405;49.4433;1198;850;102.6996;35.7658;1.4189;0.7048;0.9647;no;2;42.60455;12.53139638376183
Esferas_BT474_dia_2_well_1_100X_4_blob_17;1316.2364;1360.0867;698.6363;1360.0867;698.6363;149.9959;1338.9946;676.6304;43.4783;44.1576;0.7352;48.9979;1978;1057;45.0;37.2348;1.3871;0.7209;0.9297;no;2;43.11635;12.988454756965124
Esferas_BT474_dia_2_well_1_100X_4_blob_22;1245.1633;1204.9160000000004;819.6903;1204.9160000000004;819.6903;151.656;1190.2174;792.1196;30.5707;53.6685;0.6803;54.0455;1763;1166;104.5603;29.3831;1.894;0.528;0.9291;no;2;41.7143;11.762141517511564
Esferas_BT474_dia_2_well_1_100X_4_blob_25;584.7376;326.1821;1018.2065;326.1821;1018.2065;92.5727;312.5;1003.3967;27.8533;29.212;0.8574;32.2744;468;1478;120.3432;23.2624;1.3771;0.7262;0.9559;no;2;27.7684;3.4696373945965737
Esferas_BT474_dia_2_well_1_100X_4_blob_27;909.643;654.4999;1070.8967;654.4999;1070.8967;116.8927;634.5109;1055.0272;39.4022;33.288000000000004;0.8366;40.7212;937;1560;152.1524;30.3435;1.398;0.7153;0.954;no;2;35.53235;7.269479461511271
Esferas_BT474_dia_2_well_1_100X_4_blob_31;1184.7051;1180.2356;1221.5538;1180.2356;1221.5538;135.7496;1163.0435;1201.087;36.0054;42.1196;0.8079;43.3294;1713;1820;41.1859;35.629;1.2367;0.8086;0.9513;no;2;39.4792;9.970950281177194
Esferas_BT474_dia_2_well_1_100X_2_blob_2;373.8259;1128.7926;425.0654;1128.7926;425.0654;79.1906;1114.8098;415.0815;27.1739;19.0217;0.7491;29.1803;1641;617;155.2249;18.8094;1.5416;0.6487;0.9184;no;2;23.99485;2.238647105513244
Esferas_BT474_dia_2_well_1_100X_2_blob_5;1776.3653;1223.6706;638.5207;1223.6706;638.5207;180.7114;1194.9728;613.4511;57.7446;48.913;0.6836;63.5435;1761;922;151.2429;40.0293;1.7908;0.5584;0.9035;no;2;51.7864;22.50498275067725
