labels,Area,Perim.,Circ.,Round,Solidity,Esferoide,dia,Diameter,n_diam
Esferas_BT474_dia_1_well_2_100X_2_blob_6,1549.7622,152.2188,0.8405,0.7734,0.9658,si,1,44.6057,14.381447406089794
Esferas_BT474_dia_1_well_2_100X_2_blob_7,1068.8652,124.1524,0.8714,0.919,0.9608,si,1,38.0156,8.90260424811345
Esferas_BT474_dia_1_well_2_100X_2_blob_8,442.5914,79.1223,0.8884,0.9992,0.9542,si,1,24.4978,2.3823895425706607
Esferas_BT474_dia_1_well_2_100X_2_blob_9,627.6583,95.7563,0.8602,0.7728,0.9491,si,1,28.59065,3.78707239169321
Esferas_BT474_dia_1_well_2_100X_2_blob_11,479.051,82.0728,0.8937,0.8912,0.958,si,1,25.2416,2.606046500056148
Esferas_BT474_dia_1_well_2_100X_2_blob_12,935.0263,125.8408,0.742,0.981,0.9153,si,1,38.2555,9.072211525723263
Esferas_BT474_dia_1_well_2_100X_2_blob_14,996.8691,120.2411,0.8664,0.9078,0.9594,si,1,36.7539,8.045291939622492
Esferas_BT474_dia_1_well_2_100X_2_blob_15,1382.6944,142.8045,0.852,0.8543,0.9603,si,1,43.4841,13.32364268789346
Esferas_BT474_dia_1_well_2_100X_2_blob_16,1115.9396,128.2285,0.8529,0.9684,0.9628,si,1,38.39465,9.171569445255338
Esferas_BT474_dia_1_well_2_100X_2_blob_18,492.4349,82.8004,0.9026,0.9663,0.9544,si,1,26.09915,2.8807834284709912
Esferas_BT474_dia_1_well_2_100X_2_blob_19,627.6583,99.0365,0.8042,0.8109999999999999,0.9341,si,1,29.26845,4.062849086127882
Esferas_BT474_dia_1_well_2_100X_2_blob_22,1317.1594,137.2731,0.8784,0.7844,0.9671,si,1,41.49085,11.574134265327096
Esferas_BT474_dia_1_well_2_100X_2_blob_23,1057.3274,133.197,0.7489,0.5833,0.929,si,1,38.17505,9.015096160042573
Esferas_BT474_dia_1_well_2_100X_2_blob_24,694.1163,99.7641,0.8764,0.8213,0.957,si,1,30.26795,4.493456518106315
Esferas_BT474_dia_1_well_2_100X_2_blob_25,529.8175,87.0414,0.8788,0.9226,0.9551,si,1,26.9871,3.184932076854344
Esferas_BT474_dia_1_well_2_100X_2_blob_26,990.8694,124.0841,0.8087,0.8477,0.9435,si,1,36.8955,8.138637786025955
Esferas_BT474_dia_1_well_2_100X_2_blob_27,599.506,91.6802,0.8963,0.9958,0.9569,si,1,28.26155,3.657795748461569
Esferas_BT474_dia_1_well_2_100X_2_blob_28,1126.5544,131.1107,0.8235,0.7206,0.9603,si,1,38.85045,9.502101835331842
Esferas_BT474_dia_1_well_2_100X_2_blob_30,1157.4758,136.2441,0.7836,0.8647,0.9409,si,1,40.0071,10.376305149771062
